x,y,z
1.643269,-8.274714,-216.869003
0.545235,-17.868164,-204.438797
-7.295607,-17.798096,-204.390015
-4.715153,-8.357157,-216.391815
-3.496555,0.954356,-225.831665
2.290352,1.236402,-226.229691
-8.741318,0.572342,-224.764282
-14.402527,-17.682587,-203.403580
-10.550915,-8.527834,-215.462631
-20.543476,-17.422318,-201.543640
-15.835234,-8.861795,-213.974548
-13.672037,-0.286612,-223.423706
0.000000,-21.552895,-182.028214
0.000000,-22.299870,-167.006577
-9.497404,-22.460316,-167.405853
-9.307150,-21.511288,-182.840576
-8.859028,-20.886539,-194.646439
0.070358,-21.008553,-194.513123
-17.942156,-21.545692,-182.455215
-16.834669,-20.654953,-194.143326
-18.653946,-23.005791,-167.599655
-26.632582,-23.970135,-166.526718
-25.290359,-21.711464,-180.315842
-23.500622,-20.230465,-191.617172
0.000000,-23.314358,-156.965973
0.000000,-24.974976,-151.086945
-9.103073,-25.346176,-151.079025
-9.565495,-23.643433,-157.307770
-19.080465,-24.475983,-157.257675
-18.624063,-26.246880,-151.249481
-27.060646,-27.258736,-151.295288
-27.309189,-25.666523,-156.994644
-11.387333,-26.935692,-109.515594
-15.853258,-27.884121,-138.722610
0.000000,-25.783840,-71.048149
-9.775885,-25.562935,-70.051918
-10.182610,-26.896492,-49.923851
0.000000,-26.643059,-50.569229
0.000000,-29.694839,-42.270092
-10.944731,-30.327148,-41.672718
-19.272745,-27.735870,-49.088058
-11.253738,-31.624432,-35.167732
0.000000,-30.722771,-35.294876
-32.950745,90.339958,-22.519791
-32.973312,110.866035,-38.101925
-45.444271,98.225540,-34.141346
-42.759647,88.633842,-25.058861
-28.982161,100.262344,-213.072235
-28.233282,63.506302,-228.827652
-34.137341,62.433228,-227.953857
-34.465290,94.812096,-215.134521
-29.746052,120.536003,-197.964447
-25.459459,35.391823,-230.702866
-20.889977,17.082239,-228.412628
-22.636990,29.104759,-230.156036
-27.058176,8.384118,-227.265381
-31.968004,35.158302,-230.274094
-22.814577,8.245633,-227.555542
-18.136475,-3.192619,-223.145386
-19.698860,3.579855,-225.920868
-26.282135,-17.113899,-197.898132
-20.475769,-9.535648,-212.590820
-32.650249,-18.976234,-191.087219
-25.681946,-10.046270,-211.113342
-22.111053,-7.778072,-215.783813
-31.333004,-22.180595,-177.336334
-29.172716,-19.678040,-188.004852
-32.514545,-25.466316,-165.272751
-35.581867,-27.992695,-164.622284
-35.049065,-23.873177,-175.514099
-32.861397,-19.878819,-184.578140
-32.936741,-27.179642,-156.711731
-32.572990,-28.119659,-150.052948
-35.159447,-29.487213,-150.750702
-35.403538,-29.517982,-156.505081
-29.217396,-25.861698,-96.338806
-25.340954,-25.280987,-63.780556
-36.802155,-32.049320,-129.889465
-24.709286,-29.971081,-46.347324
-44.278416,-39.333954,-144.803268
-43.421715,-39.937050,-149.616547
-44.506054,-38.420425,-141.341095
-50.713158,-42.092739,-146.196884
-49.051571,-42.759399,-148.687485
-47.315552,-43.295113,-151.860931
-43.218704,-40.730316,-155.516708
-38.264462,-34.181274,-154.758087
-46.206123,-43.687363,-155.445267
-46.652424,-43.589302,-160.529846
-43.208141,-39.387314,-162.493256
-38.913425,-33.186813,-164.168472
-56.853859,91.710136,-38.187622
-62.881294,88.311707,-42.000546
-65.844727,74.534973,-32.699665
-63.821362,101.310677,-62.371422
-65.657379,76.521370,-34.673920
-69.429764,76.529831,-42.947094
-69.509346,70.894775,-38.198303
-67.731514,70.583069,-33.833439
-43.562317,83.593193,-22.606468
-44.291302,87.291756,-25.986008
-46.116161,88.612419,-28.529411
-48.361900,87.856148,-29.535145
-50.446732,84.282066,-27.945974
-50.114136,89.157463,-30.491980
-39.335888,93.573654,-213.940521
-39.428795,60.740654,-226.648224
-44.666058,60.571049,-224.134460
-44.096714,92.880058,-211.536346
-48.260918,92.449371,-207.662201
-49.406246,61.006248,-219.092209
-53.918404,70.560318,-213.040436
-53.564636,80.909706,-209.473450
-53.154758,88.386078,-206.794037
-52.021553,95.246529,-204.135941
-54.120026,63.565678,-215.182739
-53.650864,57.352001,-217.005585
-52.960213,105.391396,-196.690659
-53.031136,111.868965,-191.278259
-51.824768,117.092964,-186.098206
-37.725941,35.950546,-228.710693
-32.011559,7.772928,-223.895416
-39.983757,11.306702,-220.281860
-43.704235,36.265427,-226.214783
